House Number,Property ID,2025 Market Value,2025 Improvement Value,2025 Land Market Value,2025 Assessed Value,Total Area,MA Total,MA Total Value,GAR Total,GAR Total Value,Additional Ammenities (ft),AA Value,Land Area (ft)
6309,R322649,735026,677026,58000,735026,4525,3462,593404,1063,83622,0,0,10000
6310,R322646,663907,603222,60685,663907,4304,3226,452136.1924,1078,151085.8076,0,0,10463
6311,R322648,569992,511992,58000,569992,4001,3036,447924,965,64068,0,0,10000
6312,R322647,602427,538677,63750,602427,4186,3277,477232,909,61445,0,0,10625
6313,R330751,460288,415135,45153,460288,2747,2241,376845,506,38290,0,0,7785
6314,R330752,968766,888796,7970,968766,6368,4188,723336,985,79833,1195,85607,13788
6315,R337050,550119,505175,44944,550119,3524,2582,433934,942,71241,0,0,7749
6316,R330753,709604,642133,67471,709604,4022,3147,570725,875,71408,0,0,11633
6317,R330749,580969,536025,44944,580969,3852,2910,474970,942,61055,0,0,7749
6318,R330754,480134,432539,47595,480134,3812,2842,374951,970,57588,0,0,8206
6319,R330748,467935,422991,44944,467935,2902,2382,385155,520,37836,0,0,7749
6320,R330755,610318,553356,56962,610318,3882,2925,482340,957,71016,0,0,9821
6321,R330747,538409,494642,43767,538409,3365,2773,451287,592,43355,0,0,7546
6322,R330756,1218146,1116617,101529,1218146,7117,4582,899451,1067,96763,1468,120403,17505
6323,R330746,534991,488260,46731,534991,3358,2806,448552,552,39708,0,0,8057
6324,R330757,645249,572105,73144,645249,4011,3219,515077,792,57028,0,0,12611
6325,R330745,511115,466171,44944,511115,3164,2636,427626,528,38545,0,0,7749
6326,R330758,594432,549221,45211,594432,4034,2962,283458,528,38781,544,26982,7795
6327,R330744,498357,453413,44944,498357,3033,2527,415934,506,37479,0,0,7749
6328,R330759,491374,446221,45153,491374,2994,2444,405188,550,41033,0,0,7785
6329,R330743,511166,467161,44005,511166,3158,2652,430222,506,36939,0,0,7587
6330,R330760,418386,373092,45294,418386,2758,2252,338833,506,34259,0,0,7792
6331,R330742,580180,535439,44741,580180,3819,2902,468781,917,66658,0,0,7714
6332,R330761,570962,526673,44289,570962,3862,2743,444984,1119,81689,0,0,7636
6333,R330741,537870,492212,45658,537870,3338,2809,453758,529,38545,0,0,7872
6334,R330762,469010,423898,45112,469010,2758,2279,387270,479,36628,0,0,7778
6335,R330740,610407,564749,45658,610407,4060,3532,528075,528,36674,0,0,7872
6336,R330763,525573,479498,46075,525573,3272,2697,437522,575,41976,0,0,7944
6337,R330739,521887,476229,45658,521887,3178,2628,435303,550,40996,0,0,7872
6338,R330764,530604,484488,46116,530604,3259,2707,443767,552,40721,0,0,7951
6339,R330738,555046,509388,45658,555046,3610,2696,441963,914,67425,0,0,7872
6340,R330765,469131,422975,46156,469131,3543,2991,390541,552,32434,0,0,7958
6341,R330737,538374,492716,45658,538374,3296,2768,453766,528,38950,0,0,7872
6342,R330766,532125,485922,46203,532125,3232,2745,449996,487,35926,0,0,7966
6343,R330736,556802,511144,45658,556802,3923,2927,444268,996,67876,0,0,7872
6344,R330767,504815,458572,46243,504815,3135,2610,419843,525,38729,0,0,7973
6345,R330735,531620,485962,45658,531620,3286,2758,447417,528,38545,0,0,7872
6346,R330769,573558,527274,46284,573558,3769,2851,460543,918,66731,0,0,7980
6347,R330734,434345,390839,43506,434345,2901,2417,358531,484,32308,0,0,7501
6348,R330769,531703,485373,46330,531703,3227,2743,449668,484,35705,0,0,7988
6349,R330733,514097,465905,48192,514097,3121,2593,426798,528,39108,0,0,8309
6350,R330770,498815,454532,44283,498815,3064,2514,413794,550,40738,0,0,7635
,,,,,,,,,,,,,
